RI	Common Name	Plant source	Reference
1524	d-cadinene	PSSC6	Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.
1525	eugenyl acetate	DYAC	Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).
1532	cadina-1,4-diene	CHPU4	Tellez et. al., Journal of Essential Oils Research 10, 201 (Mar/Apr 1998).
1532	cadina-1,4-diene	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1533	cadina-1,4-diene1	PSSC6	Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.
1538	a-cadinene	CHPU4	Tellez et. al., Journal of Essential Oils Research 10, 201 (Mar/Apr 1998).
1538	a-cadinene	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1538	a-cadinene	PSSC6	Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.
1542	a-cadinene	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1542	selina-3,7(11)-diene	CHPU4	Tellez et. al., Journal of Essential Oils Research 10, 201 (Mar/Apr 1998).
1543	a-calacorene	PSSC6	Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.
1548	elemol	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1549	elemol	KOSP	current study
1551	elemol	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
1552	elemicin	ANCA	Medina et. al, Journal of Agricultural and Food Chemistry 53 (2005) 8694.
1557	germacrene B	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1557	gerrnacrene B	CHPU4	Tellez et. al., Journal of Essential Oils Research 10, 201 (Mar/Apr 1998).
1562	(E)-nerolidol	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1564	β-calacorene	PSSC6	Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.
1565	(E)-nerolidol	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
1574	prenopsan-8-ol	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
1575	germacrene D-4-ol	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1576	spathulenol	DYAC	Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).
1576	spathulenol	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1577	himachalene epoxide	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
1578	spathulenol	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
1578	spathulenol	PSSC6	Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.
1582	caryophyllene oxide	ANCA	Medina et. al, Journal of Agricultural and Food Chemistry 53 (2005) 8694.
1582	caryophyllene oxide	DYAC	Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).
1582	caryophyllene oxide	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1583	caryophyllene oxide	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
1584	globulol	PSSC6	Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.
1585	gleenol	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
