RI	Common Name	Plant source	Reference
1684	epi-a-bisabolol	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
1686	8-cedren-13-ol	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1735	oplopanone	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1747	6S-7R-bisabolone	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
1749	xanthorrizol	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1761	benzyl-benzoate	CEGR	Lucero et. al.,  Journal of essential oil research (in press).
1789	8-a-acetoxyelemol	KOSP	current study
1798	nootkatone	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1827	isopropyl tetradecanoate	CEGR	Lucero et. al.,  Journal of essential oil research (in press).
1867	flourensiadiol	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1879	hexadecanol	KOSP	current study
1927	methyl hexadecanoate	KOSP	current study
1999	eicosane	DYAC	Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).
2099	heneicosane	DYAC	Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).
2194	1-docosene	DYAC	Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).
2201	n-docosane	DYAC	Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).
2302	tricosane	DYAC	Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).
2403	tetracosane	DYAC	Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).
